,endTime,year,month,day,hour,artist,album,track,genres,minutesPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1064,2021-05-10 22:38:00,2021,5,10,22,L'Impératrice,Vanille fraise,Vanille fraise,"['french indie pop', 'french indietronica', 'french synthpop', 'indie soul', 'new french touch']",0.13,7nZ9CzhiFRPhOQCn7eDSnn,0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,0.66,103.03
1065,2021-05-11 16:18:00,2021,5,11,16,Fucked Up,Day of the Dead,Cream Puff War,"['canadian hardcore', 'canadian metal', 'canadian punk', 'hardcore punk', 'indie punk', 'modern rock', 'post-hardcore']",6.29,1DqPkvJrCYOqP2bfQWg5zh,0.436,0.872,2,-7.919,1,0.0865,0.142,0.676,0.462,0.23,144.967
1066,2021-05-15 18:46:00,2021,5,15,18,David Schwartz,At Long Last...Music And Songs From Arrested Development,You Here With Me,[],2.01,0NCzgja3uOd0aUOIiyI3iL,0.516,0.405,2,-10.152,1,0.0356,0.335,0.131,0.0817,0.778,128.208
1067,2021-05-18 22:39:00,2021,5,18,22,Sam Amidon,Day of the Dead,And We Bid You Goodnight,"['chamber folk', 'freak folk', 'indie folk', 'stomp and holler', 'vermont indie']",0.02,4yDxaCOSQIaskk59THzDQd,0.555,0.283,4,-8.738,1,0.0347,0.944,1.16e-06,0.239,0.395,125.609
1068,2021-05-28 01:23:00,2021,5,28,1,The War On Drugs,Day of the Dead,Touch of Grey,"['indie rock', 'philly indie']",5.28,61zY5DkjMbSJriXUsVChjZ,0.521,0.882,11,-6.262,1,0.0338,0.00506,0.00632,0.183,0.863,151.588
1069,2021-05-30 14:37:00,2021,5,30,14,Los Amigos Invisibles,El Paradise,Anestesiada Feat. Kinky,"['latin afrobeat', 'latin alternative', 'latin funk', 'latin pop', 'latin rock', 'mexican indie', 'rock en espanol', 'venezuelan indie', 'venezuelan rock']",3.74,0dOBBTrwlc7fWny2lpJwXE,0.736,0.933,4,-5.441,0,0.0455,0.0148,0.3,0.0871,0.931,116.005
1070,2021-06-13 13:20:00,2021,6,13,13,Bill Callahan,Day of the Dead,Easy Wind,"['alternative country', 'anti-folk', 'art pop', 'chamber pop', 'folk', 'freak folk', 'indie folk', 'indie rock', 'solo wave']",0.01,6fT9bfS3R7FsqxkhtQxS1I,0.421,0.196,9,-15.511,1,0.0373,0.636,0.899,0.0988,0.247,112.393
1071,2021-06-13 13:20:00,2021,6,13,13,Jim James,Day of the Dead,Candyman,"['indie folk', 'indie rock', 'shiver pop', 'stomp and holler']",0.02,3SlGbS624U4JBn5VNmWl3B,0.27,0.709,0,-6.273,1,0.0374,0.0402,0.541,0.1,0.58,92.524
1072,2021-06-21 19:55:00,2021,6,21,19,Boys Like Girls,Boys Like Girls,The Great Escape,"['neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",3.44,56Tl3UgyZTqfZtvFNS31wm,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934
1073,2021-06-29 23:12:00,2021,6,29,23,Boys Like Girls,Boys Like Girls,The Great Escape,"['neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",3.44,56Tl3UgyZTqfZtvFNS31wm,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934
